Study_ID	ITRDB_Code	Study_Name	Latitude	Longitude	Elevation	Species	FirstYear	LastYear
12700	MT123	Pederson - Two Medicine Lake - PSME - ITRDB MT123	48.4833	-113.3667	1636	PSME	1564	2001
12701	MT124	Graumlich - Teton River Valley - PSME - ITRDB MT124	47.9167	-112.7333	1678	PSME	1509	2001
12702	MT125	Pederson - Upper Smith Creek - PSME - ITRDB MT125	46.2667	-110.5333	1800	PSME	1602	2009
16776	MT127	King - Chinese Garden - JUSC - ITRDB MT127	45	-110.6833	1865	JUSC	-413	2008
17255	MT128	Knapp - Rock Creek West - PIPO - ITRDB MT128	46.95	-114.3283	1555	PIPO	1602	2006
17256	MT129	Knapp - Ferry Landing Research Natural Area - PSME - ITRDB MT129	47.3333	-114.8667	1340	PSME	1690	2006
17257	MT130	Soulé - Boulder Creek - PSME - ITRDB MT130	46.8167	-114.25		PSME	1307	2008
17258	MT131	Soulé - Rock Creek East - PSME - ITRDB MT131	46.65	-113.6333	1371	PSME	1665	2008
17259	MT132	Soulé - Fish Creek - PSME - ITRDB MT132	46.8557	-114.6855	1160	PSME	1611	2006
17260	MT133	Soulé - Cabin Gulch Research Natural Area - PSME - ITRDB MT133	46.7667	-111.7667	1650	PSME	1674	2009
18199	MT134	Soulé - Paine Gulch - PSME - ITRDB MT134	46.0833	-110.8167	1650	PSME	1799	2009
18200	MT135	Soulé - Paine Gulch - PIPO - ITRDB MT135	46.0833	-110.8167	1650	PIPO	1793	2009
27510	MT136	Pederson - Agassiz Glacier - PCEN - ITRDB MT136	48.9667	-114.1	2260	PCEN	1581	2007
27511	MT137	Sauchyn - Boyce Ranch A - PIPO - ITRDB MT137	48.16	-109.52	1400	PIPO	1572	2002
27512	MT138	Sauchyn - Boyce Ranch B - PIPO - ITRDB MT138	48.16	-109.56	1490	PIPO	1668	2002
27513	MT139	Sauchyn - Beaver Creek Road - PIPO - ITRDB MT139	48.1	-109.6	1245	PIPO	1723	2010
27514	MT140	Gray - Bear Canyon - PSME - ITRDB MT140	45.0167	-108.6167	2100	PSME	369	1998
27515	MT141	Pederson - Boulder Pass - LALY - ITRDB MT141	48.9667	-114.1	2260	LALY	1540	2004
27516	MT142	Pederson - Boundary Mountain - PSME - ITRDB MT142	48.9833	-114.25	1710	PSME	1499	2002
27517	MT143	Sauchyn - Boyce Ranch - PSME - ITRDB MT143	48.1	-109.6	1485	PSME	1580	2010
27518	MT144	Sauchyn - Bears Paw Mountains - PIPO - ITRDB MT144	48.25	-109.5	1500	PIPO	1558	2002
27519	MT145	Sauchyn - Bears Paw Mountains - PSME - ITRDB MT145	48.25	-109.5	1500	PSME	1581	2002
27520	MT146	Sauchyn - Bowery Peak/Rocky Boy Reserve - PSME - ITRDB MT146	48.2	-109.7	1800	PSME	1621	2002
27521	MT147	Wise - Big Sheep Creek - PSME - ITRDB MT147	44.67	-112.78	2150	PSME	1187	2006
27522	MT148	Pederson - Big Timber Creek - PIFL - ITRDB MT148	46.0333	-110.2	2030	PIFL	1467	2000
27523	MT149	Pederson - Big Timber Creek - PSME - ITRDB MT149	46.0333	-110.2	2030	PSME	1406	2000
27531	MT150	Pederson - Beartooth Lookout - PSME - ITRDB MT150	45.045	-109.406	2713	PSME	1399	2007
27532	MT151	Pederson - Butte Update - PSME - ITRDB MT151	45.83	-112.35	1676	PSME	1688	2013
27533	MT152	Sauchyn - Cut Bank River - PIFL - ITRDB MT152	48.61	-113.26	1675	PIFL	1312	2006
27534	MT153	King - Chinese Garden 2016 Expanded - JUSC - ITRDB MT153	45	-110.6833	1865	JUOC	-413	2008
27535	MT154	Pederson - Charlie Russell Horseclub - PSME - ITRDB MT154	47.49649	-110.57746	1611	PSME	1703	2013
27536	MT155	Pederson - Doody Mountain - PSME - ITRDB MT155	48.3833	-113.6167	1890	PSME	1660	2001
27537	MT156	Pederson - Dry Wolf Creek - PSME - ITRDB MT156	46.97787	-110.5232	1835	PSME	1713	2013
27538	MT157	Pederson - Flint Creek Range Update - LALY - ITRDB MT157	46.28	-113.15	2645	LALY	999	2013
27539	MT158	Graumlich - Grass Mountain #1 - PIAL - ITRDB MT158	45.1667	-109.5167	3200	PIAL	775	1999
27540	MT159	Pederson - Going to the Sun Road - PSME - ITRDB MT159	48.7	-113.5167	1860	PSME	1337	2002
27542	MT160	Pederson - Helena Update - PSME - ITRDB MT160	46.72	-111.8	1128	PSME	1558	2013
27543	MT161	Sauchyn - Highwood Mountains - PSME - ITRDB MT161	47.46	-110.56	1425	PSME	1660	2005
27544	MT162	Sauchyn - Little Belt Mountains Pole Creek - PSME - ITRDB MT162	46.86	-110.99	1830	PSME	1699	2005
27545	MT163	Pederson - Limestone Ridge Road - PSME - ITRDB MT163	46.4715	-110.6714	2095	PSME	1281	2013
27546	MT164	Pederson - Livingston Update - PSME - ITRDB MT164	45.6	-110.55	1433	PSME	1532	2013
27547	MT165	Schook - Yellowstone River near Sidney - PPDE - ITRDB MT165	47.47	-104.28	591	PPDE	1729	2012
27548	MT166	Sauchyn - Maidens Peak Judith Mountains - PSME - ITRDB MT166	47.1833	-109.2167	1666	PSME	1501	2003
27549	MT167	Pederson - McDonald Lake - PIPO - ITRDB MT167	47.428	-113.986	1200	PIPO	1568	2014
27550	MT168	Pederson - Numa Ridge Falls - PSME - ITRDB MT168	48.85	-114.2	1695	PSME	1645	2001
27551	MT169	Pederson - Park Creek - PSME - ITRDB MT169	48.35	-113.5	1800	PSME	1529	2003
27570	MT170	Schook - Powder River near Broadus - PPDE - ITRDB MT170	45.26	-105.61	965	PPDE	1740	2013
27571	MT172	Sauchyn - Sweetgrass Hills - PIAL - ITRDB MT172	48.8333	-111.5	1800	PIAL	1560	2000
27572	MT173	Sauchyn - Sweetgrass Hills - PSME - ITRDB MT173	48.8333	-111.5	1800	PSME	1338	1996
27573	MT174	Pederson - Scenic Point - PIFL - ITRDB MT174	48.4833	-113.3167	2040	PIFL	1115	2000
27574	MT175	Pederson - Teton River Valley - PIFL - ITRDB MT175	47.9167	-112.7333	1678	PIFL	783	2000
27575	MT176	Pederson - Whitefish Mountain - LALY - ITRDB MT176	48.75	-114.6	2260	LALY	1596	2006
2957	NC001	Cook - Balsam Gap Mount Mitchell - PCRU - ITRDB NC001	35.73	-82.33	1800	PCRU	1609	1983
2964	NC002	Cook - Clingman's Dome - PCRU - ITRDB NC002	35.6	-83.43	1800	PCRU	1558	1983
2977	NC003	Cook - Grandfather Mountain - PCRU - ITRDB NC003	36.07	-81.82	1800	PCRU	1560	1983
2986	NC004	Cook - Joyce Kilmer Wilderness - QUAL - ITRDB NC004	35.22	-83.97	1000	QUAL	1641	1983
2987	NC005	Cook - Kelsey Tract - TSCA - ITRDB NC005	35.08	-83.18	1000	TSCA	1560	1983
2988	NC006	Cook - Kelsey Tract - TSCR - ITRDB NC006	35.08	-83.18	1000	TSCR	1677	1983
2992	NC007	Cook - Linville Gorge - QUAL - ITRDB NC007	35.88	-81.93	1000	QUAL	1617	1977
4814	NC008	Stahle - Black River North Carolina - TADI - ITRDB NC008	34.32	-78.22	2	TADI	365	1985
4880	NC009	Stahle - Lassiter Swamp Merchants Millpond State Park - TADI - ITRDB NC009	36.45	-76.62	2	TADI	1524	1984
5384	NC010	Young - Boogerman Trail North Carolina - CADN - ITRDB NC010	35.6	-83.1	1065	CADN	1720	1931
4870	NC011	Stahle - Joyce Kilmer Memorial Forest - CADN - ITRDB NC011	35.35	-83.92	250	CADN	1737	1928
4871	NC012	Stahle - Joyce Kilmer Memorial Forest - LITU - ITRDB NC012	35.35	-83.92	250	LITU	1672	1997
4872	NC013	Stahle - Joyce Kilmer Memorial Forest - TSCA - ITRDB NC013	35.35	-83.92	250	TSCA	1784	1997
4942	NC014	Stahle - Shot Beech Ridge - QURU - ITRDB NC014	35.6	-83.42	1372	QURU	1771	1997
5398	NC015	Young - Thomas Divide Trail - CADN - ITRDB NC015	35.58	-83.38	427	CADN	1780	1939
